product_category,total_items_sold,unique_orders,unique_sellers,unique_products,total_sales_value,total_freight_value,avg_item_price,avg_review_score,review_count,late_delivery_rate,review_risk_rate,avg_delivery_delay_days,avg_actual_delivery_days,has_reviews,has_delivery_data
kitchen_dining_laundry_garden_furniture,281,248,52,94,46328.37,11999.43,164.8696441281139,4.033088235294118,272,0.04411764705882353,0.13602941176470587,-12.415441176470589,11.485294117647058,True,True
la_cuisine,14,13,2,10,2054.99,333.55,146.785,4.0,13,0.0,0.23076923076923078,-16.615384615384617,6.538461538461538,True,True
luggage_accessories,1092,1034,73,349,140429.98,30445.23,128.5988827838828,4.352283317800559,1073,0.04100652376514446,0.08667287977632805,-12.647716682199441,10.178937558247902,True,True
market_place,311,280,59,104,28378.47,5456.06,91.2490996784566,4.072607260726072,303,0.036303630363036306,0.12871287128712872,-14.64026402640264,11.64026402640264,True,True
music,38,38,19,27,6034.35,690.51,158.79868421052632,4.2105263157894735,38,0.05263157894736842,0.10526315789473684,-14.342105263157896,11.157894736842104,True,True
musical_instruments,680,628,70,289,191498.88,18638.49,281.616,4.221705426356589,645,0.07441860465116279,0.11937984496124031,-11.465116279069768,12.506976744186046,True,True
office_furniture,1691,1273,34,309,273960.7,68571.95,162.0110585452395,3.512696493349456,1654,0.07920193470374849,0.2545344619105199,-11.859733978234583,20.363361547763,True,True
party_supplies,43,39,12,26,4485.18,827.97,104.30651162790699,3.8333333333333335,42,0.0,0.21428571428571427,-15.119047619047619,8.904761904761905,True,True
pc_gamer,9,8,2,3,1545.95,133.57,171.77222222222224,3.625,8,0.0,0.25,-9.625,8.75,True,True
perfumery,3419,3162,175,868,399124.87,54213.84,116.73731207955542,4.219453617532273,3331,0.064545181627139,0.13059141398979285,-12.434704293005103,11.262984088862204,True,True
pet_shop,1947,1710,137,719,214315.41,39561.24,110.0746841294299,4.216710182767624,1915,0.04856396866840731,0.1206266318537859,-12.565013054830287,10.728981723237597,True,True
portateis_cozinha_e_preparadores_de_alimentos,15,14,5,10,3968.5299999999997,309.76,264.5686666666667,3.4285714285714284,14,0.07142857142857142,0.2857142857142857,-9.5,7.785714285714286,True,True
security_and_services,2,2,2,2,283.28999999999996,41.22,141.64499999999998,2.5,2,0.0,0.5,-17.0,15.0,True,True
signaling_and_security,199,140,46,93,21509.23,6507.820000000001,108.08658291457286,4.091836734693878,196,0.03571428571428571,0.11734693877551021,-12.831632653061224,9.85204081632653,True,True
small_appliances,679,630,105,231,190648.58,16020.25,280.7784683357879,4.223583460949464,653,0.0444104134762634,0.1225114854517611,-13.926493108728943,10.278713629402757,True,True
small_appliances_home_oven_and_coffee,76,75,15,31,47445.71,2747.86,624.2856578947368,4.438356164383562,73,0.0547945205479452,0.0684931506849315,-11.58904109589041,9.397260273972602,True,True
sports_leisure,8641,7720,481,2867,988048.97,168607.51,114.34428538363615,4.164955836715206,8378,0.062425399856767726,0.13046073048460252,-12.023513965146813,11.668417283361183,True,True
stationery,2517,2311,173,849,230943.23,46798.48,91.75336909018674,4.246430028559772,2451,0.06731946144430845,0.11587107303141575,-12.036311709506323,12.26642186862505,True,True
tablets_printing_image,83,79,6,9,7528.41,1226.2,90.70373493975903,4.1234567901234565,81,0.04938271604938271,0.13580246913580246,-13.024691358024691,12.419753086419753,True,True
telephony,4545,4199,149,1134,323667.52999999997,71215.79,71.21397799779977,3.9943233424159854,4404,0.06902815622161672,0.1553133514986376,-11.389418710263397,12.381698455949136,True,True
toys,4117,3886,252,1411,483946.6,77425.95,117.54836045664318,4.207301825456364,3999,0.06126531632908227,0.12203050762690673,-12.186296574143537,11.151787946986747,True,True
watches_gifts,5991,5624,101,1329,1205005.68,100535.93,201.13598397596394,4.071391708240151,5813,0.07070359538964391,0.14828831928436265,-11.966798554963013,12.140891106141407,True,True
